DATAFLOW,LAST UPDATE,freq,meat,meatitem,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1974-01,26.00,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1974-02,22.80,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1974-03,20.40,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1974-04,18.50,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1974-05,22.30,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1974-06,19.60,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1974-07,24.60,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1974-08,28.10,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1974-09,34.80,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1974-10,42.90,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1974-11,43.80,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1974-12,38.60,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1975-01,45.30,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1975-02,28.60,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1975-03,31.70,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1975-04,31.20,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1975-05,28.80,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1975-06,18.30,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1975-07,35.20,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1975-08,36.80,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1975-09,40.80,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1975-10,46.60,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1975-11,42.10,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1975-12,34.30,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1976-01,27.40,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1976-02,23.10,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1976-03,24.90,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1976-04,25.20,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1976-05,26.00,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1976-06,21.70,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1976-07,20.00,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1976-08,29.00,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1976-09,34.10,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1976-10,32.70,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1976-11,36.30,
